"t_stamp","1KTI10 熟料落料溫度","1CPI18 窯頭風壓","1K001_ON 窯主馬達運轉","1KII01 旋窯主馬達A電流","1KII02 旋窯主馬達B電流","1KJI01 旋窯主馬達A功率","1KSI01 窯主馬達A轉速","1KTI09 燒成帶溫度"
2026-03-20 15:45:21.000,1101.49231,-2.25210667,-1.0,625.398865,619.390442,422.665039,2.08830762,799.4101
2026-03-20 15:45:16.000,1101.49231,-2.19382,-1.0,625.398865,619.390442,422.665039,2.08830762,799.4101
2026-03-20 15:45:11.000,1101.49231,-2.19733143,-1.0,608.549133,620.7946,416.783722,2.09515452,799.4101
2026-03-20 15:45:06.000,1101.49231,-2.19733143,-1.0,638.0035,628.8602,436.753876,2.092837,799.4101
2026-03-20 15:45:01.000,1101.49231,-1.67696667,-1.0,638.0035,628.8602,436.753876,2.092837,799.4101
2026-03-20 15:44:56.000,1101.49231,-1.37289333,-1.0,614.1657,629.186768,435.349365,2.09957862,799.4101
2026-03-20 15:44:51.000,1101.49231,-1.37289333,-1.0,614.1657,629.186768,435.349365,2.09957862,799.4101
2026-03-20 15:44:46.000,1101.49231,-1.37289333,-1.0,614.1657,629.186768,435.349365,2.09957862,799.4101
2026-03-20 15:44:41.000,1101.49231,-1.42415714,-1.0,635.554443,625.007,423.828125,2.09515452,799.4101
2026-03-20 15:44:36.000,1101.49231,-1.2619381,-1.0,626.0846,630.950134,423.828125,2.09515452,799.4101
2026-03-20 15:44:31.000,1101.49231,-1.2619381,-1.0,626.0846,630.950134,423.828125,2.09515452,799.4101
2026-03-20 15:44:26.000,1101.49231,-1.2619381,-1.0,647.8652,632.3869,424.047577,2.09515452,799.4101
2026-03-20 15:44:21.000,1101.49231,-1.45294952,-1.0,647.8652,632.3869,424.047577,2.09515452,799.4101
2026-03-20 15:44:16.000,1101.49231,-1.63132,-1.0,647.8652,632.3869,424.047577,2.09515452,799.4101
2026-03-20 15:44:11.000,1101.49231,-1.63132,-1.0,635.554443,618.672058,405.481934,2.09957862,799.4101
2026-03-20 15:44:06.000,1101.49231,-1.53441048,-1.0,643.2935,636.9259,438.1803,2.09736657,799.4101
2026-03-20 15:44:01.000,1101.49231,-1.78651714,-1.0,643.2935,636.9259,438.1803,2.09736657,799.4101
2026-03-20 15:43:56.000,1101.49231,-1.78651714,-1.0,602.9652,626.051941,423.367279,2.09736657,799.4101
